רשימת הסמלים לביאור 2018,Unnamed: 1
,
שם הגליון,מס'
מחוז ונפה,1
מעמד מוניציפלי,2
איזור טבעי ,3
דת היישוב,4
ועדת תכנון,5
שיוך מטרופוליני,6
צורת יישוב,7
השתייכות אירגונית,8
תחנת משטרה,9
אשכול רשויות מקומי,10
